category,price,original_price,rating,rating_count,scraped_date,size,color,material,discount_percentage,availability,is_bestseller,return_policy,delivery_time,trending,customer_reviews,cleaned_category
Women Jeans,1745,1932,4.4,3003,2025-08-02,3XL,Red,Silk,9.68,Limited Stock,False,30 days,5 days,False,204,women jean
Women Jeans,1351,2166,3.9,4943,2025-08-02,M,Navy,Denim,37.63,In Stock,False,30 days,6 days,True,148,women jean
Women Jeans,1805,2043,4.0,2456,2025-08-02,L,Olive,Denim,11.65,Few Left,False,30 days,6 days,False,461,women jean
Women Jeans,984,1042,4.2,2050,2025-08-02,XXL,Red,Polyester,5.57,Back in Stock,False,30 days,5 days,False,435,women jean
Women Jeans,1795,2082,3.8,1627,2025-08-02,XL,Black,Denim,13.78,Back in Stock,False,30 days,4 days,False,300,women jean
Women Jeans,1502,1742,3.6,4531,2025-08-02,XL,Beige,Linen,13.78,Only 1 Left,False,30 days,6 days,False,454,women jean
Women Jeans,1372,1396,4.1,478,2025-08-02,XXL,Green,Cotton,1.72,In Stock,False,30 days,7 days,False,111,women jean
Women Jeans,1880,1986,3.8,990,2025-08-02,L,Blue,Polyester,5.34,In Stock,False,30 days,7 days,False,175,women jean
Women Jeans,2078,2111,4.6,1054,2025-08-02,XXL,Pink,Denim,1.56,Limited Stock,False,30 days,6 days,False,187,women jean
Women Jeans,1807,1971,3.8,1299,2025-08-02,M,Blue,Denim,8.32,Only 1 Left,False,30 days,4 days,True,443,women jean
Men Tshirts,343,614,4.4,4796,2025-08-02,M,Beige,Viscose,44.14,Few Left,False,10 days,3 days,False,225,men tshirt
Men Tshirts,618,700,4.1,5342,2025-08-02,S,Red,Viscose,11.71,Limited Stock,False,10 days,2 days,False,487,men tshirt
Men Tshirts,536,659,4.3,1234,2025-08-02,3XL,White,Cotton Blend,18.66,Few Left,False,10 days,4 days,False,449,men tshirt
Men Tshirts,428,964,3.7,2117,2025-08-02,XL,Red,Denim,55.6,Only 1 Left,False,10 days,3 days,False,294,men tshirt
Men Tshirts,429,758,4.4,6253,2025-08-02,S,Beige,Denim,43.4,Limited Stock,True,10 days,1 days,False,457,men tshirt
Men Tshirts,517,655,3.4,5321,2025-08-02,M,Beige,Cotton,21.07,In Stock,False,10 days,2 days,False,267,men tshirt
Men Tshirts,469,753,3.5,1049,2025-08-02,XL,Blue,Viscose,37.72,Limited Stock,False,10 days,4 days,False,408,men tshirt
Men Tshirts,362,1044,4.3,6595,2025-08-02,L,Red,Viscose,65.33,Only 1 Left,False,10 days,5 days,False,41,men tshirt
Men Tshirts,320,444,3.9,4821,2025-08-02,XXL,Beige,Viscose,27.93,Limited Stock,False,10 days,5 days,False,433,men tshirt
Men Tshirts,358,740,3.6,308,2025-08-02,XXL,Navy,Denim,51.62,Limited Stock,False,10 days,2 days,False,208,men tshirt
Men Tshirts,595,716,4.3,1054,2025-08-02,XL,Purple,Denim,16.9,Back in Stock,False,10 days,4 days,False,261,men tshirt
Men Tshirts,527,905,4.7,3375,2025-08-02,M,Navy,Viscose,41.77,Only 1 Left,False,10 days,1 days,False,86,men tshirt
Men Tshirts,642,922,3.8,1166,2025-08-02,XXL,Blue,Denim,30.37,In Stock,False,10 days,1 days,False,222,men tshirt
Men Tshirts,310,321,3.7,6041,2025-08-02,S,Navy,Cotton Blend,3.43,Limited Stock,False,10 days,5 days,False,373,men tshirt
Men Tshirts,466,645,3.9,892,2025-08-02,XXL,Black,Polyester,27.75,Limited Stock,False,10 days,3 days,False,148,men tshirt
Men Tshirts,522,567,4.1,7351,2025-08-02,M,Beige,Cotton Blend,7.94,Back in Stock,False,10 days,4 days,False,155,men tshirt
Men Jeans,844,1158,4.4,823,2025-08-02,XL,Beige,Cotton,27.12,Limited Stock,False,10 days,3 days,False,424,men jean
Men Jeans,1154,1502,4.4,866,2025-08-02,XXL,Black,Polyester,23.17,Few Left,False,10 days,1 days,False,429,men jean
Men Jeans,968,1815,3.7,3242,2025-08-02,XXL,Purple,Polyester,46.67,Only 1 Left,False,10 days,2 days,False,351,men jean
Men Jeans,1485,1569,3.6,6509,2025-08-02,3XL,Olive,Viscose,5.35,Few Left,False,10 days,5 days,False,55,men jean
Men Jeans,841,1171,4.7,1283,2025-08-02,S,Navy,Cotton Blend,28.18,Back in Stock,False,10 days,3 days,False,335,men jean
Men Jeans,1026,1104,3.3,874,2025-08-02,S,Orange,Viscose,7.07,In Stock,True,10 days,1 days,False,221,men jean
Men Jeans,1388,2249,4.0,7476,2025-08-02,3XL,Navy,Lycra,38.28,Limited Stock,False,10 days,4 days,False,345,men jean
Men Jeans,1138,1949,4.7,7659,2025-08-02,XXL,Pink,Viscose,41.61,Few Left,False,10 days,5 days,False,187,men jean
Men Jeans,1365,1377,4.4,4614,2025-08-02,XXL,Navy,Polyester,0.87,Back in Stock,False,10 days,5 days,False,137,men jean
Men Jeans,1530,1734,3.7,6962,2025-08-02,S,Pink,Polyester,11.76,Limited Stock,False,10 days,2 days,False,67,men jean
Men Jeans,1471,1642,4.5,4984,2025-08-02,S,Maroon,Cotton,10.41,Few Left,True,10 days,3 days,False,278,men jean
Men Jeans,1447,1868,3.6,6646,2025-08-02,3XL,Green,Lycra,22.54,In Stock,False,10 days,1 days,False,156,men jean
Men Jeans,934,1322,3.8,2289,2025-08-02,L,Red,Cotton,29.35,Limited Stock,False,10 days,1 days,False,228,men jean
Men Jeans,1465,2467,3.9,3556,2025-08-02,XS,Grey,Polyester,40.62,Few Left,False,10 days,1 days,True,423,men jean
Men Jeans,1137,1137,4.4,1204,2025-08-02,3XL,White,Denim,0.0,In Stock,False,10 days,3 days,False,74,men jean
Men Jeans,689,860,3.8,7909,2025-08-02,3XL,Brown,Cotton Blend,19.88,In Stock,False,10 days,2 days,False,139,men jean
Men Shirts,1191,1311,4.1,588,2025-08-02,XS,Olive,Cotton Blend,9.15,In Stock,False,10 days,5 days,False,140,men shirt
Men Shirts,689,886,3.8,4627,2025-08-02,3XL,Orange,Cotton,22.23,Few Left,False,10 days,2 days,False,283,men shirt
Men Shirts,656,700,3.2,333,2025-08-02,S,Yellow,Denim,6.29,Limited Stock,True,10 days,3 days,False,431,men shirt
Men Shirts,694,885,3.3,6288,2025-08-02,XL,Pink,Viscose,21.58,Back in Stock,False,10 days,1 days,False,188,men shirt
Men Shirts,860,1447,4.4,2684,2025-08-02,XL,Purple,Lycra,40.57,Limited Stock,False,10 days,1 days,False,379,men shirt
Men Shirts,1222,2000,4.5,3236,2025-08-02,3XL,Maroon,Polyester,38.9,Back in Stock,False,10 days,1 days,True,234,men shirt
Men Shirts,1254,1961,4.6,5883,2025-08-02,M,Olive,Cotton,36.05,Limited Stock,False,10 days,4 days,False,434,men shirt
Men Shirts,1193,1261,3.5,3801,2025-08-02,XXL,Navy,Lycra,5.39,Only 1 Left,False,10 days,3 days,False,370,men shirt
Men Shirts,744,1116,3.2,890,2025-08-02,XL,White,Cotton,33.33,Limited Stock,True,10 days,4 days,False,344,men shirt
Men Shirts,1005,1074,4.3,5042,2025-08-02,S,Black,Denim,6.42,In Stock,False,10 days,2 days,False,330,men shirt
Men Shirts,592,644,3.5,5780,2025-08-02,XL,Brown,Lycra,8.07,In Stock,False,10 days,2 days,False,433,men shirt
Men Shirts,660,942,4.4,6038,2025-08-02,XXL,Grey,Cotton,29.94,In Stock,False,10 days,3 days,False,69,men shirt
Men Shirts,605,1768,4.1,2630,2025-08-02,S,White,Cotton Blend,65.78,In Stock,False,10 days,3 days,False,273,men shirt
Men Shirts,876,1621,3.9,5988,2025-08-02,3XL,Brown,Viscose,45.96,Only 1 Left,False,10 days,2 days,False,357,men shirt
Men Shirts,824,1104,3.3,1123,2025-08-02,XS,Orange,Lycra,25.36,In Stock,False,10 days,5 days,True,397,men shirt
Men Shirts,839,979,4.3,6118,2025-08-02,XS,Pink,Cotton Blend,14.3,Few Left,False,10 days,4 days,False,140,men shirt
Women Dresses,1290,1396,4.3,899,2025-08-02,S,Red,Viscose,7.59,Few Left,False,10 days,5 days,False,471,women dress
Women Dresses,964,3084,4.4,695,2025-08-02,XXL,Beige,Cotton Blend,68.74,Only 1 Left,False,10 days,4 days,True,193,women dress
Women Dresses,956,989,4.2,3792,2025-08-02,L,Beige,Cotton,3.34,Only 1 Left,True,10 days,3 days,False,7,women dress
Women Dresses,1162,1672,3.5,4156,2025-08-02,M,Olive,Cotton,30.5,In Stock,False,10 days,3 days,False,15,women dress
Women Dresses,1342,1722,4.3,6084,2025-08-02,L,Olive,Cotton,22.07,Only 1 Left,True,10 days,3 days,False,84,women dress
Women Dresses,762,1031,3.3,3146,2025-08-02,L,Pink,Polyester,26.09,Limited Stock,False,10 days,5 days,False,188,women dress
Women Dresses,601,1435,3.4,4011,2025-08-02,L,Beige,Denim,58.12,Few Left,False,10 days,3 days,False,25,women dress
Women Dresses,1100,1435,3.8,6539,2025-08-02,XXL,Yellow,Lycra,23.34,Few Left,False,10 days,2 days,False,55,women dress
Women Dresses,648,777,3.9,1156,2025-08-02,XS,Maroon,Lycra,16.6,Limited Stock,False,10 days,1 days,False,86,women dress
Women Dresses,982,1374,3.3,7359,2025-08-02,S,Blue,Lycra,28.53,Limited Stock,False,10 days,2 days,False,363,women dress
Women Dresses,1052,1314,4.3,3173,2025-08-02,L,Orange,Cotton Blend,19.94,In Stock,False,10 days,1 days,False,63,women dress
Women Dresses,1206,1206,4.6,7440,2025-08-02,L,Pink,Lycra,0.0,Back in Stock,True,10 days,5 days,False,181,women dress
Women Dresses,1315,1538,4.5,5683,2025-08-02,M,Brown,Lycra,14.5,Limited Stock,False,10 days,2 days,False,499,women dress
Women Dresses,813,1184,3.6,2018,2025-08-02,XS,Olive,Viscose,31.33,Only 1 Left,False,10 days,2 days,False,444,women dress
Women Dresses,701,1013,3.8,3093,2025-08-02,M,Olive,Denim,30.8,Only 1 Left,True,10 days,3 days,False,485,women dress
Women Dresses,996,1075,3.7,2353,2025-08-02,XL,Green,Viscose,7.35,In Stock,False,10 days,3 days,False,256,women dress
Women Tops,416,1039,3.9,2278,2025-08-02,3XL,Olive,Viscose,59.96,Back in Stock,False,10 days,3 days,False,217,women top
Women Tops,826,950,4.1,1915,2025-08-02,3XL,Olive,Cotton Blend,13.05,Back in Stock,False,10 days,5 days,True,356,women top
Women Tops,820,829,4.2,6410,2025-08-02,XL,Green,Polyester,1.09,Only 1 Left,False,10 days,2 days,True,236,women top
Women Tops,780,978,3.6,5057,2025-08-02,XS,Beige,Lycra,20.25,Back in Stock,False,10 days,3 days,False,35,women top
Women Tops,685,843,4.7,4045,2025-08-02,S,Beige,Lycra,18.74,Limited Stock,False,10 days,1 days,False,105,women top
Women Tops,511,1233,3.4,4498,2025-08-02,XL,Blue,Lycra,58.56,Only 1 Left,False,10 days,5 days,False,1,women top
Women Tops,709,1670,3.8,6027,2025-08-02,S,Orange,Cotton Blend,57.54,In Stock,True,10 days,2 days,False,463,women top
Women Tops,380,641,3.8,3611,2025-08-02,3XL,Orange,Cotton,40.72,Limited Stock,False,10 days,4 days,False,132,women top
Women Tops,483,485,4.3,2204,2025-08-02,XS,Yellow,Lycra,0.41,Limited Stock,False,10 days,5 days,False,279,women top
Women Tops,437,514,3.6,6125,2025-08-02,3XL,Purple,Cotton,14.98,Few Left,True,10 days,3 days,False,37,women top
Women Tops,452,615,4.5,5459,2025-08-02,S,White,Polyester,26.5,Limited Stock,False,10 days,4 days,False,296,women top
Women Tops,481,675,3.2,654,2025-08-02,XS,Orange,Cotton Blend,28.74,In Stock,False,10 days,2 days,False,415,women top
Women Tops,394,443,3.7,1799,2025-08-02,XL,Grey,Lycra,11.06,Back in Stock,False,10 days,1 days,False,221,women top
Women Tops,535,927,4.4,6624,2025-08-02,XL,Red,Cotton,42.29,Back in Stock,False,10 days,1 days,False,3,women top
Women Tops,384,574,4.6,2658,2025-08-02,XL,Maroon,Lycra,33.1,Only 1 Left,False,10 days,2 days,False,205,women top
Women Tops,430,809,3.4,3535,2025-08-02,XS,Beige,Cotton,46.85,Few Left,False,10 days,1 days,True,330,women top
Women Jeans,801,1305,3.6,6893,2025-08-02,M,Black,Cotton Blend,38.62,In Stock,False,10 days,2 days,False,109,women jean
Women Jeans,917,2597,4.7,3777,2025-08-02,XL,Red,Cotton,64.69,Few Left,True,10 days,2 days,False,410,women jean
Women Jeans,905,2776,3.7,367,2025-08-02,XL,Orange,Lycra,67.4,Only 1 Left,False,10 days,2 days,False,416,women jean
Women Jeans,1585,2077,4.1,7647,2025-08-02,XS,Green,Lycra,23.69,In Stock,False,10 days,1 days,False,111,women jean
Women Jeans,1265,1581,3.8,4534,2025-08-02,M,Purple,Denim,19.99,Only 1 Left,False,10 days,5 days,False,13,women jean
Women Jeans,1290,1370,3.4,4366,2025-08-02,S,Maroon,Lycra,5.84,Limited Stock,False,10 days,4 days,False,270,women jean
Women Jeans,790,961,3.9,2152,2025-08-02,XXL,Pink,Viscose,17.79,Limited Stock,False,10 days,1 days,True,403,women jean
Women Jeans,1649,4110,4.0,4241,2025-08-02,M,Blue,Cotton Blend,59.88,Only 1 Left,False,10 days,1 days,False,146,women jean
Women Jeans,1035,1342,4.0,7336,2025-08-02,3XL,Orange,Cotton Blend,22.88,In Stock,False,10 days,1 days,False,370,women jean
Women Jeans,1380,1476,4.3,6151,2025-08-02,S,Pink,Cotton Blend,6.5,Only 1 Left,False,10 days,2 days,False,444,women jean
Women Jeans,1404,1617,4.1,4266,2025-08-02,L,Olive,Denim,13.17,In Stock,False,10 days,1 days,True,0,women jean
Women Jeans,1243,2397,3.8,6524,2025-08-02,XXL,Purple,Cotton,48.14,Only 1 Left,False,10 days,3 days,False,322,women jean
Women Jeans,1268,1411,3.8,259,2025-08-02,3XL,Green,Cotton,10.13,In Stock,False,10 days,1 days,False,433,women jean
Women Jeans,1292,1668,3.3,7358,2025-08-02,L,Red,Lycra,22.54,Back in Stock,False,10 days,4 days,False,57,women jean
Women Jeans,884,1282,4.7,4323,2025-08-02,M,Grey,Cotton Blend,31.05,In Stock,False,10 days,1 days,False,166,women jean
Women Jeans,1625,3522,3.6,5759,2025-08-02,S,Yellow,Cotton,53.86,Few Left,False,10 days,3 days,False,114,women jean
Men Tshirts,320,363,4.6,1713,2025-08-02,XXL,Green,Polyester,11.85,Only 1 Left,False,15 days,8 days,True,38,men tshirt
Men Tshirts,349,481,4.4,1183,2025-08-02,XS,Pink,Cotton Blend,27.44,Only 1 Left,False,15 days,4 days,False,36,men tshirt
Men Tshirts,370,430,4.1,1060,2025-08-02,M,Black,Viscose,13.95,Only 1 Left,False,15 days,6 days,False,280,men tshirt
Men Tshirts,359,460,4.4,1798,2025-08-02,XL,Green,Viscose,21.96,Few Left,False,15 days,6 days,False,491,men tshirt
Men Tshirts,407,443,4.2,1097,2025-08-02,XL,Beige,Viscose,8.13,Back in Stock,False,15 days,4 days,False,113,men tshirt
Men Tshirts,359,458,4.1,474,2025-08-02,L,White,Polyester,21.62,In Stock,False,15 days,5 days,False,239,men tshirt
Men Tshirts,463,737,4.5,1206,2025-08-02,L,Beige,Viscose,37.18,Few Left,False,15 days,6 days,False,291,men tshirt
Men Tshirts,373,410,3.9,758,2025-08-02,S,Red,Polyester,9.02,Back in Stock,False,15 days,7 days,False,305,men tshirt
Men Tshirts,399,582,4.2,1764,2025-08-02,XL,White,Viscose,31.44,Only 1 Left,False,15 days,3 days,False,256,men tshirt
Men Tshirts,350,463,4.1,1032,2025-08-02,3XL,Olive,Cotton Blend,24.41,Only 1 Left,False,15 days,3 days,False,404,men tshirt
Men Tshirts,306,487,4.2,1291,2025-08-02,3XL,Orange,Polyester,37.17,Back in Stock,False,15 days,3 days,False,456,men tshirt
Men Tshirts,359,457,3.9,1476,2025-08-02,S,Blue,Viscose,21.44,In Stock,False,15 days,7 days,False,282,men tshirt
Men Tshirts,395,469,4.3,1827,2025-08-02,S,Olive,Cotton Blend,15.78,In Stock,False,15 days,5 days,True,423,men tshirt
Men Jeans,729,1172,4.4,1592,2025-08-02,3XL,Olive,Viscose,37.8,Back in Stock,False,15 days,7 days,False,471,men jean
Men Jeans,1135,1224,4.4,1749,2025-08-02,M,Orange,Viscose,7.27,In Stock,False,15 days,3 days,False,161,men jean
